?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MRIO_0000385>		
<http://purl.obolibrary.org/obo/MRIO_0000603>		
<http://purl.obolibrary.org/obo/MRIO_0000615>		
<http://purl.obolibrary.org/obo/MRIO_0000518>		
<http://purl.obolibrary.org/obo/MRIO_0000506>		
<http://purl.obolibrary.org/obo/MRIO_0000515>	"FreeSurfer is a suite of tools for the analysis of neuroimaging data that provides an array of algorithms to quantify the functional, connectional and structural properties of the human brain. It has evolved from a package primarily aimed at generating surface representations of the cerebral cortex into one that automatically creates models of most macroscopically visible structures in the human brain given any reasonable T1-weighted input image. It is freely available, runs on a wide variety of hardware and software platforms, and is open source."	
<http://purl.obolibrary.org/obo/MRIO__0000351>	"A type of MRI image in which the contrast emphasizes density of protons, supressing T1 and T2 effects"	
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000622>	"Measures the degree of diffusion weighting applied, thereby indicating the amplitude (G), time of applied gradients (δ) and duration between the paired gradients (Δ)."	
<http://purl.obolibrary.org/obo/MRIO__0000357>	"The repetition time (TR) is the time from the application of an excitation pulse to the application of the next pulse. It determines how much longitudinal magnetization recovers between each pulse. It is measured in milliseconds. (radiopedia)"	
<http://purl.obolibrary.org/obo/MRIO_0000510>		
<http://purl.obolibrary.org/obo/MRIO_0000396>		
<http://purl.obolibrary.org/obo/MRIO_0000372>		
<http://purl.obolibrary.org/obo/MRIO_0000505>		
<http://purl.obolibrary.org/obo/MRIO_0000614>		
<http://purl.obolibrary.org/obo/MRIO_0000529>		
<http://purl.obolibrary.org/obo/MRIO_0000424>		
<http://purl.obolibrary.org/obo/MRIO_0000522>	"Local polynomial approximation based intersection confidence interval (LPA-ICI) filter is one of the effective de-noising filters. This filter requires an adjustment of the ICI parameters for efficient window size selection. From the wide range of ICI parametric values, finding out the best set of tunes values is itself an optimization problem. The present study proposed a novel technique for parameter optimization of LPA-ICI filter using genetic algorithm (GA) for brain MR images de-noising. The experimental results proved that the proposed method outperforms the LPA-ICI method for de-noising in terms of various performance metrics for different noise variance levels. Obtained results reports that the ICI parameter values depend on the noise variance and the concerned under test image"	
<http://purl.obolibrary.org/obo/MRIO_0000602>		
<http://purl.obolibrary.org/obo/MRIO_0000382>	"a planned process that produces MR images from MR imaging datum"	
<http://purl.obolibrary.org/obo/MRIO__0000359>	"the number of spin echoes in given unit of time"	
<http://purl.obolibrary.org/obo/MRIO__0000355>	"A type of functional MRI in which the participant is given a task or tasks, which are timed with the acquisition"	
<http://purl.obolibrary.org/obo/MRIO__0000356>	"the direction that the MRI image was taken"	
<http://purl.obolibrary.org/obo/MRIO_0000400>		
<http://purl.obolibrary.org/obo/MRIO_0000521>		
<http://purl.obolibrary.org/obo/MRIO_0000371>		
<http://purl.obolibrary.org/obo/MRIO_0000421>	"an MR image assessment to determine brain activity by detecting changes associated with blood flow in an evaluant"	
